,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
54015,2167181,"The Spellman Files (The Spellmans, #1)",Lisa Lutz,1847820069,3.88,2007,12,1,Charnwood (U.K.),5:9141,4:12530,3:7346,2:1783,1:653,total:31453,9,eng,434.0,"Meet Isabel ""Izzy"" Spellman, private investigator. This twenty-eight-year-old may have a checkered past littered with romantic mistakes, excessive drinking, and creative vandalism; she may be addicted to Get Smart reruns and prefer entering homes through windows rather than doors -- but the upshot is she's good at her job as a licensed private investigator with her family's firm, Spellman Investigations. Invading people's privacy comes naturally to Izzy. In fact, it comes naturally to all the Spellmans. If only they could leave their work at the office. To be a Spellman is to snoop on a Spellman; tail a Spellman; dig up dirt on, blackmail, and wiretap a Spellman. <br /><br />Part Nancy Drew, part Dirty Harry, Izzy walks an indistinguishable line between Spellman family member and Spellman employee. Duties include: completing assignments from the bosses, aka Mom and Dad (preferably without scrutiny); appeasing her chronically perfect lawyer brother (often under duress); setting an example for her fourteen-year-old sister, Rae (who's become addicted to ""recreational surveillance""); and tracking down her uncle (who randomly disappears on benders dubbed ""Lost Weekends""). <br /><br />But when Izzy's parents hire Rae to follow her (for the purpose of ascertaining the identity of Izzy's new boyfriend), Izzy snaps and decides that the only way she will ever be normal is if she gets out of the family business. But there's a hitch: she must take one last job before they'll let her go -- a fifteen-year-old, ice-cold missing person case. She accepts, only to experience a disappearance far closer to home, which becomes the most important case of her life.",,
96931,3069617,Insight Day and Night Guide Boston,Insight Guides,9812468013,4.0,2006,7,15,Insight Guides,5:0,4:1,3:0,2:0,1:0,total:1,1,eng,1.0,"Insight Day &amp; Night Guides let you plan your daily itinerary with reliable information that will make your way easy. Expert recommendations and reviews of top 10 sights help you visit a museum, shop or sightsee in the day and paint the town red at night.",,
105559,3430781,"Sixteen Candles (Terror Academy, #3)",Nicholas Pine,0749716886,3.6,1994,6,13,Mammoth,5:12,4:27,3:18,2:9,1:1,total:67,0,eng,174.0,"<b>TERROR ACADEMY - A KILLER IS ON THE LOOSE...</b><br /><br />Since her parents' mysterious deaths, Kelly Langdon has lived a life of misery with her Aunt Doris. Shy and overweight, she's the favorite target of the bullies at Central. But as she turns sixteen, Kelly blossoms into the most popular girl at school. Everything starts to go her way. Except for the strange messages and threats. And soon she realizes that they mean what they say...",,
75202,2971345,His Wedding Ring of Revenge,Julia James,0263185966,3.52,2005,12,2,Thorndike Press,5:52,4:59,3:71,2:30,1:9,total:221,1,eng,288.0,"Rachel Vail is still haunted by Vito Farneste's cruel public rejection of her, but she desperately needs a marriage of convenience. Only Vito won't be blackmailed by anyone. Rachel will be wearing his ring--but it will be his wedding ring of revenge!",,
89816,1108028,All for the Union: The Civil War Diary & Letters of Elisha Hunt Rhodes,Robert Hunt Rhodes,0679738282,4.12,1992,28,7,Vintage,5:303,4:247,3:129,2:32,1:9,total:720,30,eng,,"All for the Union is the eloquent and moving diary of Elisha Hunt Rhodes, who enlisted into the Union Army as a private in 1861 and left it four years later as a 23-year-old lieutenant colonel after fighting hard and honorably in battles from Bull Run to Appomattox. Anyone who heard these diaries excerpted on the PBS-TV series The Civil War will recognize his accounts of those campaigns, which remain outstanding for their clarity and detail. Most of all, Rhodes's words reveal the motivation of a common Yankee foot soldier, an otherwise ordinary young man who endured the rigors of combat and exhausting marches, short rations, fear, and homesickness for a salary of $13 a month and the satisfaction of giving ""all for the union.""",270.0,30.0
104815,3400827,"The Legacy (The Legacy, #1)",T.J. Bennett,1933836369,3.51,2008,4,1,Medallion Press,5:24,4:41,3:43,2:16,1:4,total:128,11,eng,455.0,"When her brief, disastrous marriage to a fortune hunter ends in scandal, Baronesse Sabina von Ziegler's vengeful adoptive father imprisons her in a cloister. Nine years later, however, following the teachings of the reformer Martin Luther, she arranges a daring escape. She is free at last—for the moment—a noblewoman of conscience, and has learned a lesson about trusting men she will never forget.<br /><br />Wolfgang Behaim, a widowed commoner, is a tradition-bound printer from the rising middle class with a secret that threatens to destroy everything he holds dear. Burdened by the mysterious circumstances surrounding his father's death, he has no heart for love. Yet he finds himself suddenly betrothed to Sabina, the Baron von Ziegler's adopted daughter.<br /><br />It is a marriage neither wants. Sabina again finds herself imprisoned by the Baron, in a dungeon this time, being slowly starved to death. Her only key to freedom is marriage to Wolf. And Wolf must marry Sabina, or the murderous Baron will reveal the secret from his past.<br /><br />Though neither comprehends the dark purpose behind the Baron's machinations, they are forced into a union they never plan to consummate. But as they fight to discover the truth of the mysteries surrounding them, they find themselves challenged by a fiery passion they cannot resist. Can they overcome their past and find love even as lies, war, and an unexpected enemy conspire against them?",,
2685,1974029,"The Dead of Night (The Tomorrow Series, #2)",John Marsden,0395837340,4.14,1997,9,29,Houghton Mifflin Company,5:7405,4:8515,3:3519,2:454,1:84,total:19977,15,eng,278.0,"Australia has been invaded. Nothing is as it was. Six teenagers are living out their nightmare in the sanctuary of a hidden valley called Hell. Alone, they make their own rules, protect what is theirs, and struggle for courage and hope in a world changed forever. Seeking supplies, allies, and information, the friends make forays into enemy territory, drawing on nerve and resourcefulness they never even knew they had. As the risks become greater, so too do the sacrifices they must make. Intense, passionate, and compulsive, The Dead of Night continues the frighteningly real story begun in Tomorrow, When the War Began.",,
56497,2238834,Love and Biology at the Center of the Universe,Jennie Shortridge,0451223888,3.41,2008,5,6,Berkley Books,5:97,4:169,3:231,2:72,1:23,total:592,89,eng,367.0,"When she learns that her college sweetheart husband has been seeing another woman, Mira Serafino's perfect world is shattered and she wants no one, least of all her big Italian family, to know. She heads north-with no destination and little money- stopping only when her car breaks down in Seattle. She takes a job at the offbeat Coffee Shop at the Center of the Universe, where she'll experience a terrifying but invigorating freedom, and meet someone she'll come to love: the new Mira.",,
117988,4838239,Flyboy,Nicole  Austin,1419917161,4.08,2008,7,25,Ellora’s Cave,5:5,4:3,3:4,2:0,1:0,total:12,3,eng,204.0,"Out of Print<br /><br /><i>""A book in The Hussies series.""</i><br /><br />Take an ancient Hussy warrior hunter with a Scottish castle that changes before your eyes. <br /><br />Mix in a computer geek with a wild imagination, an unemployed biker scarred by the past, and task them with saving the world. <br /><br />Add a dash of freaky past-life regression along with some cool spy stuff and you've got one heck of a recipe for adventure. They just may succeed at their mission - stranger things have happened. <br /><br />However, the consequences are deadly and failure is not an option for Twyla or Jhett. <br /><br />Surviving the seedy underworld of weapons dealers requires learning to trust each other if they're to have any chance at breaking the endless cycle of repeating their mistakes.over and over.in one life after another.<br />",,
113315,4413662,Beach Management,Eric C.F. Bird,0471963372,1.0,1996,9,12,Wiley,5:0,4:0,3:0,2:0,1:1,total:1,1,eng,281.0,"Beach Management Eric C. F. Bird Geostudies Beach Management is the latest book in the Coastal Morphology and Research Series, and deals with the origin of beaches, the processes at work on them, the causes of beach erosion and accretion, and the ways in which the coast has been modified by anti-erosion structures. The emplacement of artificial bleaches, and the use and development of beaches for recreation is also covered. This volume provides background for those concerned with planning and management of the coast (particularly where there are problems of erosion and beach maintenance), beach usage and recreational development. It also provides information and case studies for courses in coastal management.<br /><br />Ch. 1. The origin of beach sediments<br />Ch. 2. Beach processes and morphology<br />Ch. 3. Causes of beach erosion<br />Ch. 4. Structures for beach protection<br />Ch. 5. Beach nourishment<br />Ch. 6. Beach use and management",,
